# COLIBRE-L200m6 snapshot -> output redshift.
# Full 128-snapshot table. Re-verified 2026-08-20 (imf project, ROADMAP.md
# item 8.4) to be byte-identical to COLIBRE-L100m6.txt's iz/z mapping,
# confirmed directly against the authoritative outputTimes/{snapshotNumber,
# redshift} datasets in both
# /cosma8/data/dp004/jch/COLIBRE/HBT/L100_m6/DMO/trees/tree_127.0.hdf5 and
# /cosma8/data/dp004/jch/COLIBRE/HBT/L200_m6/DMO/trees/tree_127.0.hdf5
# (np.allclose on redshift, exact match on snapshotNumber, both length 128).
# Content is therefore an exact copy of COLIBRE-L100m6.txt, kept as its own
# file (rather than reusing that filename from this simulation's config
# entry) for naming clarity and so the two boxes' redshift lists can
# diverge safely in future if COLIBRE-L200m6's trees are ever rebuilt with
# different output times.
# iz    z
0      30
1      25
2      22.5
3      20
4      19
5      18
6      17
7      16
8      15
9      14.5
10     14
11     13.5
12     13
13     12.5
14     12
15     11.5
16     11
17     10.5
18     10
19     9.75
20     9.5
21     9.25
22     9
23     8.75
24     8.5
25     8.25
26     8
27     7.75
28     7.5
29     7.375
30     7.25
31     7.125
32     7
33     6.875
34     6.75
35     6.625
36     6.5
37     6.375
38     6.25
39     6.125
40     6
41     5.875
42     5.75
43     5.625
44     5.5
45     5.375
46     5.25
47     5.125
48     5
49     4.875
50     4.75
51     4.625
52     4.5
53     4.375
54     4.25
55     4.125
56     4
57     3.875
58     3.75
59     3.625
60     3.5
61     3.375
62     3.25
63     3.125
64     3
65     2.875
66     2.75
67     2.625
68     2.5
69     2.4375
70     2.375
71     2.3125
72     2.25
73     2.1875
74     2.125
75     2.0625
76     2
77     1.9375
78     1.875
79     1.8125
80     1.75
81     1.6875
82     1.625
83     1.5625
84     1.5
85     1.4375
86     1.375
87     1.3125
88     1.25
89     1.1875
90     1.125
91     1.0625
92     1
93     0.95
94     0.9
95     0.85
96     0.8
97     0.75
98     0.7
99     0.65
100    0.6
101    0.55
102    0.5
103    0.475
104    0.45
105    0.425
106    0.4
107    0.375
108    0.35
109    0.325
110    0.3
111    0.275
112    0.25
113    0.225
114    0.2
115    0.18
116    0.16
117    0.14
118    0.12
119    0.1
120    0.08
121    0.06
122    0.05
123    0.04
124    0.03
125    0.02
126    0.01
127    0
